,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,2004,1,1,1397668,1351507,1315742,1308023,1344117,1373144,1441539.0,1498724.0,1560591.0,1568796.0,1544478.0,1495097.0,1430285.0,1349982.0,1287122.0,1274883.0,1353637.0,1575019.0,1636728.0,1635797.0,1611906.0,1549105.0,1481095.0,1373952.0
1,2004,1,2,1301947,1269909,1252312,1257179,1290456,1361227,1464124.0,1572082.0,1633227.0,1681562.0,1677609.0,1636836.0,1572859.0,1505164.0,1443138.0,1401701.0,1447550.0,1627609.0,1685186.0,1670778.0,1637173.0,1571176.0,1501765.0,1382427.0
2,2004,1,3,1303321,1245547,1227398,1213064,1236463,1266459,1340396.0,1424629.0,1502542.0,1529432.0,1490597.0,1425302.0,1349888.0,1286297.0,1236793.0,1224911.0,1272798.0,1422427.0,1469853.0,1433311.0,1395048.0,1326297.0,1257527.0,1150240.0
3,2004,1,4,1043587,992573,965259,948854,956988,965863,1029528.0,1134496.0,1266030.0,1346017.0,1327748.0,1295583.0,1297433.0,1275594.0,1267072.0,1275741.0,1343828.0,1500610.0,1541526.0,1516343.0,1483730.0,1399781.0,1290609.0,1167588.0
4,2004,1,5,1097293,1067294,1066225,1090136,1133034,1271139,1526443.0,1608700.0,1556503.0,1550304.0,1560706.0,1535885.0,1519855.0,1507081.0,1485666.0,1494817.0,1568902.0,1737356.0,1803353.0,1792730.0,1742057.0,1659543.0,1552725.0,1430543.0
5,2004,1,6,1363900,1351412,1357995,1403510,1476122,1628107,1903386.0,1998046.0,1892078.0,1824398.0,1777403.0,1723893.0,1685636.0,1664781.0,1650200.0,1678469.0,1807913.0,2088797.0,2207549.0,2237212.0,2223375.0,2157791.0,2073347.0,1962632.0
6,2004,1,7,1922691,1923842,1939822,1985405,2059914,2198219,2437774.0,2432856.0,2292150.0,2258310.0,2187502.0,2093443.0,2010321.0,1954900.0,1917464.0,1941107.0,2062915.0,2283411.0,2290324.0,2310317.0,2326871.0,2261532.0,2154724.0,2028383.0
7,2004,1,8,1985105,1960528,1961521,1984812,2051396,2185388,2393929.0,2402562.0,2275960.0,2198578.0,2100640.0,2026331.0,1969579.0,1945719.0,1931720.0,1956612.0,2044869.0,2209367.0,2260260.0,2245700.0,2178596.0,2060784.0,1939768.0,1800064.0
8,2004,1,9,1720659,1683320,1684484,1699759,1761368,1871832,2079148.0,2149707.0,2120982.0,2105870.0,2073550.0,2030000.0,1983444.0,1950478.0,1923312.0,1945313.0,1997801.0,2187929.0,2247393.0,2229721.0,2200008.0,2161962.0,2134423.0,2048218.0
9,2004,1,10,2018156,2024260,2053810,2093145,2155503,2221037,2335325.0,2461887.0,2561764.0,2558305.0,2538249.0,2405197.0,2285089.0,2182795.0,2111908.0,2098712.0,2200467.0,2392100.0,2407632.0,2393188.0,2426894.0,2434874.0,2418783.0,2332753.0
10,2004,1,11,2297219,2294762,2312589,2338680,2377525,2407410,2501248.0,2582611.0,2602162.0,2471538.0,2339913.0,2229742.0,2116808.0,2000752.0,1931208.0,1939524.0,2028777.0,2210694.0,2265539.0,2248892.0,2214586.0,2116044.0,2005699.0,1869113.0
11,2004,1,12,1794903,1759000,1769670,1786231,1839174,1951993,2197884.0,2255202.0,2097432.0,1965458.0,1862200.0,1760593.0,1687711.0,1632475.0,1585044.0,1587733.0,1664369.0,1851209.0,1950938.0,1943810.0,1898914.0,1815958.0,1712073.0,1579842.0
12,2004,1,13,1532282,1518591,1545237,1581442,1655935,1787839,2053381.0,2133993.0,1980654.0,1835828.0,1721943.0,1640478.0,1582772.0,1562386.0,1533737.0,1544056.0,1640226.0,1870644.0,1989737.0,2006390.0,1990377.0,1912369.0,1824701.0,1712819.0
