,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,2006,1,1,1508046,1451751,1410760,1396553,1400403,1443244,1505944.0,1616769.0,1731875.0,1758434.0,1720780.0,1650808.0,1605702.0,1543789.0,1477060.0,1456142.0,1529112.0,1748870.0,1857695.0,1874923.0,1881416.0,1827746.0,1742599.0,1656073.0
1,2006,1,2,1602487,1588868,1608248,1614934,1630428,1714555,1841316.0,1930250.0,1991734.0,2045600.0,2042866.0,2026525.0,1971007.0,1940960.0,1915515.0,1922334.0,1989370.0,2114027.0,2117069.0,2077442.0,1992961.0,1859440.0,1688519.0,1543415.0
2,2006,1,3,1445945,1407194,1401326,1407750,1394413,1537032,1781231.0,1856468.0,1799954.0,1789644.0,1852096.0,1846303.0,1833222.0,1826861.0,1825129.0,1860748.0,1879239.0,2042442.0,2100972.0,2079652.0,2009413.0,1884783.0,1696203.0,1624397.0
3,2006,1,4,1538750,1525639,1520941,1539366,1600930,1746306,1916539.0,1986008.0,1889614.0,1846478.0,1879063.0,1841008.0,1791956.0,1772461.0,1762702.0,1774198.0,1805771.0,1985595.0,2043946.0,2034469.0,1979225.0,1877783.0,1734470.0,1659051.0
4,2006,1,5,1569779,1520947,1505975,1515260,1557800,1701899,1862606.0,1937600.0,1830162.0,1759067.0,1759380.0,1695666.0,1628654.0,1606499.0,1588362.0,1619087.0,1647949.0,1859593.0,1948844.0,1955487.0,1915669.0,1809450.0,1671441.0,1605985.0
5,2006,1,6,1520276,1483993,1486414,1505689,1575174,1651336,1905623.0,2002070.0,1928724.0,1885318.0,1854774.0,1786905.0,1826108.0,1795331.0,1779287.0,1820909.0,1854518.0,2045821.0,2108437.0,2099692.0,2086599.0,2081821.0,1992732.0,1893051.0
6,2006,1,7,1900465,1875980,1881906,1910220,1957528,2031774,2132930.0,2299743.0,2255801.0,2176884.0,2087446.0,2019572.0,1934107.0,1848314.0,1805895.0,1808170.0,1898587.0,2065309.0,2136009.0,2115794.0,2104703.0,2041313.0,1939254.0,1831269.0
7,2006,1,8,1748427,1715743,1698381,1698086,1723309,1774878,1867833.0,2001591.0,2094646.0,2040628.0,1931933.0,1822280.0,1733994.0,1673724.0,1609645.0,1580668.0,1661688.0,1860838.0,1944438.0,1947633.0,1907938.0,1795185.0,1656458.0,1524554.0
8,2006,1,9,1453797,1416040,1407483,1423165,1484026,1629096,1801074.0,1860636.0,1824086.0,1667561.0,1598194.0,1605813.0,1537889.0,1487335.0,1454324.0,1437669.0,1489768.0,1607344.0,1729055.0,1723537.0,1675653.0,1662430.0,1522727.0,1397978.0
9,2006,1,10,1327721,1299661,1304311,1336667,1411074,1582375,1871465.0,1895314.0,1783613.0,1687189.0,1672232.0,1602880.0,1538173.0,1497107.0,1484210.0,1494381.0,1600270.0,1759814.0,1868265.0,1877101.0,1835834.0,1742231.0,1673874.0,1542834.0
10,2006,1,11,1462985,1435285,1415458,1424908,1453867,1558297,1797945.0,1801997.0,1706177.0,1655280.0,1618233.0,1652361.0,1623664.0,1600592.0,1580869.0,1581847.0,1635518.0,1717850.0,1793096.0,1772710.0,1723249.0,1632234.0,1560561.0,1422320.0
11,2006,1,12,1345402,1321354,1329317,1369188,1444897,1608525,1873416.0,1897452.0,1788372.0,1670425.0,1579348.0,1544762.0,1475107.0,1434801.0,1408067.0,1393688.0,1446624.0,1569128.0,1707804.0,1738411.0,1718960.0,1650327.0,1596683.0,1479077.0
12,2006,1,13,1415596,1398380,1402062,1436677,1496947,1643580,1807855.0,1893461.0,1811998.0,1805026.0,1697129.0,1611271.0,1528051.0,1476801.0,1432700.0,1420445.0,1485835.0,1561636.0,1618386.0,1578035.0,1527110.0,1448272.0,1417504.0,1295512.0
