pr,	Year, Month, Country
78.835,1901,1,KOR
9.75457,1901,2,KOR
53.0832,1901,3,KOR
101.754,1901,4,KOR
80.0866,1901,5,KOR
135.036,1901,6,KOR
248.998,1901,7,KOR
100.914,1901,8,KOR
46.5143,1901,9,KOR
80.935,1901,10,KOR
29.0272,1901,11,KOR
26.472,1901,12,KOR
7.78438,1902,1,KOR
45.39,1902,2,KOR
123.16,1902,3,KOR
65.8242,1902,4,KOR
118.089,1902,5,KOR
141.673,1902,6,KOR
229.536,1902,7,KOR
233.085,1902,8,KOR
121.148,1902,9,KOR
45.7709,1902,10,KOR
50.5268,1902,11,KOR
47.8231,1902,12,KOR
72.5372,1903,1,KOR
69.6504,1903,2,KOR
74.5569,1903,3,KOR
89.2273,1903,4,KOR
276.432,1903,5,KOR
91.3044,1903,6,KOR
326.265,1903,7,KOR
224.231,1903,8,KOR
127.154,1903,9,KOR
41.2659,1903,10,KOR
28.0801,1903,11,KOR
35.9395,1903,12,KOR
4.49437,1904,1,KOR
26.9271,1904,2,KOR
25.4565,1904,3,KOR
159.394,1904,4,KOR
117.419,1904,5,KOR
106.678,1904,6,KOR
351.512,1904,7,KOR
104.43,1904,8,KOR
48.0096,1904,9,KOR
47.0902,1904,10,KOR
12.7813,1904,11,KOR
21.6051,1904,12,KOR
46.9739,1905,1,KOR
5.94026,1905,2,KOR
63.4242,1905,3,KOR
78.7265,1905,4,KOR
160.377,1905,5,KOR
116.434,1905,6,KOR
404.162,1905,7,KOR
452.23,1905,8,KOR
201.881,1905,9,KOR
36.231,1905,10,KOR
28.2858,1905,11,KOR
55.452,1905,12,KOR
46.8914,1906,1,KOR
43.9606,1906,2,KOR
43.606,1906,3,KOR
59.3799,1906,4,KOR
145.663,1906,5,KOR
96.2643,1906,6,KOR
106.125,1906,7,KOR
189.351,1906,8,KOR
149.595,1906,9,KOR
79.2747,1906,10,KOR
5.58684,1906,11,KOR
50.414,1906,12,KOR
21.6757,1907,1,KOR
7.44967,1907,2,KOR
27.1155,1907,3,KOR
110.871,1907,4,KOR
113.396,1907,5,KOR
108.572,1907,6,KOR
191.48,1907,7,KOR
111.41,1907,8,KOR
61.3681,1907,9,KOR
48.7416,1907,10,KOR
55.8324,1907,11,KOR
12.8871,1907,12,KOR
44.0369,1908,1,KOR
33.7295,1908,2,KOR
37.3095,1908,3,KOR
113.357,1908,4,KOR
99.5265,1908,5,KOR
183.552,1908,6,KOR
277.409,1908,7,KOR
228.009,1908,8,KOR
58.1603,1908,9,KOR
56.4703,1908,10,KOR
12.4551,1908,11,KOR
21.0483,1908,12,KOR
27.898,1909,1,KOR
14.6882,1909,2,KOR
42.4711,1909,3,KOR
134.631,1909,4,KOR
42.9657,1909,5,KOR
134.042,1909,6,KOR
184.138,1909,7,KOR
271.272,1909,8,KOR
95.9366,1909,9,KOR
59.4834,1909,10,KOR
41.7081,1909,11,KOR
26.4059,1909,12,KOR
47.7446,1910,1,KOR
5.95302,1910,2,KOR
53.4604,1910,3,KOR
85.8241,1910,4,KOR
34.5308,1910,5,KOR
216.936,1910,6,KOR
490.888,1910,7,KOR
166.942,1910,8,KOR
218.189,1910,9,KOR
8.41891,1910,10,KOR
79.1865,1910,11,KOR
11.81,1910,12,KOR
