tas,	Year, Month, Country
-1.8475,1901,1,KOR
-3.5305,1901,2,KOR
3.29562,1901,3,KOR
10.4067,1901,4,KOR
14.8067,1901,5,KOR
19.5847,1901,6,KOR
21.575,1901,7,KOR
23.8409,1901,8,KOR
18.9016,1901,9,KOR
13.1028,1901,10,KOR
5.54253,1901,11,KOR
-2.6761,1901,12,KOR
-2.8955,1902,1,KOR
-1.276,1902,2,KOR
4.80196,1902,3,KOR
9.60208,1902,4,KOR
14.5759,1902,5,KOR
18.788,1902,6,KOR
22.1462,1902,7,KOR
22.2031,1902,8,KOR
18.2677,1902,9,KOR
13.6134,1902,10,KOR
8.02644,1902,11,KOR
1.3746,1902,12,KOR
-1.9893,1903,1,KOR
-0.3326,1903,2,KOR
4.7596,1903,3,KOR
10.7805,1903,4,KOR
14.8342,1903,5,KOR
19.3736,1903,6,KOR
22.1592,1903,7,KOR
24.454,1903,8,KOR
20.0908,1903,9,KOR
12.2257,1903,10,KOR
4.86156,1903,11,KOR
-1.9347,1903,12,KOR
-4.704,1904,1,KOR
-0.7364,1904,2,KOR
3.05267,1904,3,KOR
10.1567,1904,4,KOR
14.7258,1904,5,KOR
20.9102,1904,6,KOR
23.4673,1904,7,KOR
24.2585,1904,8,KOR
18.8043,1904,9,KOR
11.7182,1904,10,KOR
5.01091,1904,11,KOR
-0.4165,1904,12,KOR
0.08797,1905,1,KOR
-2.7767,1905,2,KOR
3.585,1905,3,KOR
8.52879,1905,4,KOR
14.0507,1905,5,KOR
19.17,1905,6,KOR
23.0907,1905,7,KOR
21.9373,1905,8,KOR
18.1799,1905,9,KOR
12.5416,1905,10,KOR
4.96588,1905,11,KOR
0.8408,1905,12,KOR
-4.3137,1906,1,KOR
-3.185,1906,2,KOR
2.40306,1906,3,KOR
9.28437,1906,4,KOR
14.5423,1906,5,KOR
19.6063,1906,6,KOR
23.1005,1906,7,KOR
23.3203,1906,8,KOR
18.1309,1906,9,KOR
12.4023,1906,10,KOR
3.24437,1906,11,KOR
-1.6309,1906,12,KOR
-1.3244,1907,1,KOR
-3.5702,1907,2,KOR
2.86919,1907,3,KOR
9.81313,1907,4,KOR
14.4711,1907,5,KOR
18.9284,1907,6,KOR
22.5312,1907,7,KOR
24.1841,1907,8,KOR
18.8703,1907,9,KOR
12.7764,1907,10,KOR
4.92211,1907,11,KOR
-3.2571,1907,12,KOR
-3.2046,1908,1,KOR
-3.5286,1908,2,KOR
2.73351,1908,3,KOR
9.06266,1908,4,KOR
13.8188,1908,5,KOR
19.2195,1908,6,KOR
21.9266,1908,7,KOR
23.2106,1908,8,KOR
17.9397,1908,9,KOR
12.5362,1908,10,KOR
3.30886,1908,11,KOR
-0.6738,1908,12,KOR
-2.8263,1909,1,KOR
-2.9372,1909,2,KOR
1.59844,1909,3,KOR
9.4547,1909,4,KOR
14.1131,1909,5,KOR
19.2585,1909,6,KOR
23.3885,1909,7,KOR
23.6579,1909,8,KOR
19.1799,1909,9,KOR
11.5412,1909,10,KOR
4.92764,1909,11,KOR
-2.8615,1909,12,KOR
-2.524,1910,1,KOR
-3.6521,1910,2,KOR
2.10148,1910,3,KOR
8.76587,1910,4,KOR
14.6622,1910,5,KOR
18.8256,1910,6,KOR
21.7606,1910,7,KOR
22.9077,1910,8,KOR
17.6163,1910,9,KOR
12.4327,1910,10,KOR
4.96926,1910,11,KOR
-4.1925,1910,12,KOR
-4.5581,1911,1,KOR
-1.3317,1911,2,KOR
3.21445,1911,3,KOR
8.52883,1911,4,KOR
14.3401,1911,5,KOR
18.8745,1911,6,KOR
22.0348,1911,7,KOR
23.4001,1911,8,KOR
19.7647,1911,9,KOR
11.032,1911,10,KOR
5.77969,1911,11,KOR
-2.9429,1911,12,KOR
-4.3248,1912,1,KOR
0.56146,1912,2,KOR
3.70982,1912,3,KOR
9.3323,1912,4,KOR
13.5628,1912,5,KOR
19.2592,1912,6,KOR
22.6358,1912,7,KOR
23.6031,1912,8,KOR
17.261,1912,9,KOR
10.6085,1912,10,KOR
1.60685,1912,11,KOR
-2.7923,1912,12,KOR
-5.0257,1913,1,KOR
-3.56,1913,2,KOR
1.47237,1913,3,KOR
9.67577,1913,4,KOR
13.1452,1913,5,KOR
18.6388,1913,6,KOR
21.3405,1913,7,KOR
22.3742,1913,8,KOR
17.8251,1913,9,KOR
11.8031,1913,10,KOR
4.58873,1913,11,KOR
-2.0082,1913,12,KOR
